model,model_name,n_mels,seed,float32_auc,tflite_auc,model_size_kb,inference_time_ms
1a_baseline,Baseline,16,42,0.9762,0.9758,7.28,0.06
1a_baseline,Baseline,32,42,0.9864,0.9862,12.78,0.13
1a_baseline,Baseline,48,42,0.9882,0.9873,18.28,0.22
1a_baseline,Baseline,64,42,0.9872,0.9869,23.78,0.3
1a_baseline,Baseline,80,42,0.9871,0.9869,29.28,0.4
3a_dropout,Dropout,16,42,0.9798,0.9794,7.2,0.07
3a_dropout,Dropout,32,42,0.9803,0.9799,12.7,0.14
3a_dropout,Dropout,48,42,0.9876,0.9872,18.2,0.22
3a_dropout,Dropout,64,42,0.9849,0.9846,23.7,0.29
3a_dropout,Dropout,80,42,0.9843,0.9843,29.2,0.33
3b_filters,More Filters,16,42,0.9829,0.9827,10.62,0.06
3b_filters,More Filters,32,42,0.9906,0.9902,21.62,0.13
3b_filters,More Filters,48,42,0.9889,0.9888,32.62,0.2
3b_filters,More Filters,64,42,0.9902,0.9891,43.62,0.28
3b_filters,More Filters,80,42,0.9914,0.9908,54.62,0.35
3c_dense,Bigger Dense,16,42,0.9793,0.9795,15.59,0.06
3c_dense,Bigger Dense,32,42,0.9852,0.9837,37.59,0.14
3c_dense,Bigger Dense,48,42,0.9865,0.9859,59.59,0.21
3c_dense,Bigger Dense,64,42,0.9884,0.9879,81.59,0.27
3c_dense,Bigger Dense,80,42,0.9862,0.9857,103.59,0.34
3d_batchnorm,BatchNorm,16,42,0.9778,0.9773,7.61,0.06
3d_batchnorm,BatchNorm,32,42,0.9848,0.9831,13.11,0.13
3d_batchnorm,BatchNorm,48,42,0.9841,0.9836,18.61,0.2
3d_batchnorm,BatchNorm,64,42,0.9873,0.987,24.11,0.27
3d_batchnorm,BatchNorm,80,42,0.9878,0.9871,29.61,0.33
3e_hybrid,Hybrid (BN+Drop),16,42,0.9802,0.9802,7.61,0.06
3e_hybrid,Hybrid (BN+Drop),32,42,0.9865,0.9858,13.11,0.13
3e_hybrid,Hybrid (BN+Drop),48,42,0.9865,0.986,18.61,0.2
3e_hybrid,Hybrid (BN+Drop),64,42,0.9863,0.9862,24.11,0.27
3e_hybrid,Hybrid (BN+Drop),80,42,0.9858,0.9858,29.61,0.34
3f_depthwise,Depthwise Sep,16,42,0.967,0.9667,8.65,0.07
3f_depthwise,Depthwise Sep,32,42,0.9815,0.9814,14.15,0.15
3f_depthwise,Depthwise Sep,48,42,0.9807,0.9802,19.65,0.22
3f_depthwise,Depthwise Sep,64,42,0.9854,0.9853,25.15,0.31
3f_depthwise,Depthwise Sep,80,42,0.9836,0.9833,30.65,0.38
