model_name,n_mels,seed,float_auc,tflite_auc,accuracy,inference_time_ms,model_size_kb,degradation_abs,degradation_pct,training_time,experiment,category
5_filters,48,42,0.9826,0.9822,0.9365,0.19,32.62,0.0004,0.04,2m,5_filters_m48_s42,Other
8d_dropout04,48,42,0.9802,0.9797,0.9283,0.19,18.4,0.0005,0.05,2m,8d_dropout04_m48_s42,Other
1_baseline,80,42,0.9797,0.9795,0.9283,0.35,29.28,0.0002,0.02,3m,1_baseline_m80_s42,Phase 1: Baseline
4_dense,48,42,0.9797,0.9793,0.9305,0.19,59.59,0.0004,0.05,2m,4_dense_m48_s42,Other
8b_dropout02,48,42,0.9793,0.9783,0.931,0.19,18.4,0.001,0.1,2m,8b_dropout02_m48_s42,Other
3_batchnorm,48,42,0.9788,0.978,0.93,0.19,18.61,0.0009,0.09,3m,3_batchnorm_m48_s42,Other
1_baseline,64,42,0.9787,0.9776,0.9283,0.47,23.78,0.0011,0.12,5m,1_baseline_m64_s42,Phase 1: Baseline
8a_dropout01,48,42,0.9786,0.9772,0.9273,0.19,18.4,0.0013,0.14,2m,8a_dropout01_m48_s42,Other
10_depthwise_f6,64,42,0.9785,0.978,0.9257,0.3,35.15,0.0005,0.05,2m,10_depthwise_f6_m64_s42,Phase 3A: Power Efficiency
10_depthwise_f6,48,42,0.9775,0.977,0.9233,0.22,26.9,0.0005,0.05,2m,10_depthwise_f6_m48_s42,Phase 3A: Power Efficiency
7_hybrid,48,42,0.9775,0.9763,0.9313,0.19,18.61,0.0012,0.12,3m,7_hybrid_m48_s42,Other
2_depthwise,80,42,0.9774,0.9771,0.9217,0.37,30.65,0.0002,0.02,2m,2_depthwise_m80_s42,Phase 2: Core Variants
10_depthwise_f6,80,42,0.9768,0.9764,0.9197,0.37,43.4,0.0004,0.04,2m,10_depthwise_f6_m80_s42,Phase 3A: Power Efficiency
8c_dropout03,48,42,0.9767,0.9765,0.9225,0.19,18.2,0.0002,0.02,2m,8c_dropout03_m48_s42,Other
1_baseline,48,42,0.9767,0.9751,0.9263,0.23,18.28,0.0016,0.16,12m,1_baseline_m48_s42,Phase 1: Baseline
9d_depthwise_drop04,48,42,0.9757,0.9752,0.9195,0.22,19.8,0.0005,0.05,2m,9d_depthwise_drop04_m48_s42,Phase 2: Dropout Sweep
2_depthwise,64,42,0.9755,0.9751,0.9267,0.33,25.15,0.0003,0.03,5m,2_depthwise_m64_s42,Phase 2: Core Variants
12_depthwise_f5,48,42,0.9753,0.9746,0.925,0.22,23.38,0.0007,0.07,2m,12_depthwise_f5_m48_s42,Phase 3A: Power Efficiency
1_baseline,32,42,0.9745,0.9733,0.9207,0.15,12.78,0.0012,0.12,12m,1_baseline_m32_s42,Phase 1: Baseline
9a_depthwise_drop01,48,42,0.974,0.9739,0.9203,0.22,19.8,0.0,0.0,1m,9a_depthwise_drop01_m48_s42,Phase 2: Dropout Sweep
11_depthwise_bn_f6,48,42,0.9736,0.9729,0.9195,0.22,27.66,0.0007,0.07,1m,11_depthwise_bn_f6_m48_s42,Phase 3A: Power Efficiency
9b_depthwise_drop02,48,42,0.9731,0.9727,0.9177,0.22,19.8,0.0004,0.04,3m,9b_depthwise_drop02_m48_s42,Phase 2: Dropout Sweep
9c_depthwise_drop03,48,42,0.9729,0.9721,0.9155,0.22,19.8,0.0008,0.08,3m,9c_depthwise_drop03_m48_s42,Phase 2: Dropout Sweep
6_best,48,42,0.9724,0.9722,0.9213,0.23,47.77,0.0002,0.02,5m,6_best_m48_s42,Other
1_baseline,16,42,0.9724,0.9722,0.9157,0.07,7.28,0.0002,0.02,3m,1_baseline_m16_s42,Phase 1: Baseline
2_depthwise,48,42,0.97,0.9691,0.9137,0.24,19.65,0.0009,0.09,5m,2_depthwise_m48_s42,Phase 2: Core Variants
10_depthwise_f6,32,42,0.968,0.9679,0.9077,0.15,18.65,0.0001,0.01,2m,10_depthwise_f6_m32_s42,Phase 3A: Power Efficiency
2_depthwise,32,42,0.9674,0.9667,0.9042,0.16,14.15,0.0007,0.07,5m,2_depthwise_m32_s42,Phase 2: Core Variants
10_depthwise_f6,16,42,0.9638,0.9633,0.909,0.07,10.4,0.0005,0.05,5m,10_depthwise_f6_m16_s42,Phase 3A: Power Efficiency
2_depthwise,16,42,0.9598,0.9596,0.9042,0.14,8.65,0.0002,0.02,6m,2_depthwise_m16_s42,Phase 2: Core Variants
