n_mels,seed,float32_auc,tflite_auc,model_size_kb,inference_time_ms
16,42,0.8266,0.8259,7.15,0.03
16,100,0.9322,0.9335,7.15,0.03
16,786,0.9173,0.9173,7.15,0.03
32,42,0.9404,0.9408,12.65,0.06
32,100,0.92,0.9216,12.65,0.06
32,786,0.9413,0.9405,12.65,0.06
48,42,0.9642,0.9642,18.15,0.1
48,100,0.9765,0.9765,18.15,0.09
48,786,0.9678,0.9672,18.15,0.1
64,42,0.953,0.9287,23.65,0.13
64,100,0.908,0.9068,23.65,0.13
64,786,0.9687,0.9599,23.65,0.13
80,42,0.8135,0.6323,29.15,0.16
80,100,0.9867,0.9868,29.15,0.16
80,786,0.5758,0.5542,29.15,0.16
