model,model_name,n_mels,float_auc,tflite_auc,model_size_kb,inference_ms,parameters,training_time,auc_per_ms,auc_per_kb
10_depthwise_f6_m16_s42,10_depthwise_f6,16,0.9638,0.9633,10.4,0.07,4367,5m,13.76142857142857,0.092625
10_depthwise_f6_m32_s42,10_depthwise_f6,32,0.968,0.9679,18.65,0.15,12815,2m,6.4526666666666666,0.051898123324396785
10_depthwise_f6_m48_s42,10_depthwise_f6,48,0.9775,0.977,26.9,0.22,21263,2m,4.4409090909090905,0.03631970260223048
10_depthwise_f6_m64_s42,10_depthwise_f6,64,0.9785,0.978,35.15,0.3,29711,2m,3.2600000000000002,0.027823613086770983
10_depthwise_f6_m80_s42,10_depthwise_f6,80,0.9768,0.9764,43.4,0.37,38159,2m,2.638918918918919,0.022497695852534565
11_depthwise_bn_f6_m48_s42,11_depthwise_bn_f6,48,0.9736,0.9729,27.66,0.22,21311,1m,4.422272727272727,0.03517353579175705
12_depthwise_f5_m48_s42,12_depthwise_f5,48,0.9753,0.9746,23.38,0.22,17720,2m,4.43,0.0416852010265184
1_baseline_m16_s42,1_baseline,16,0.9724,0.9722,7.28,0.07,3030,3m,13.888571428571426,0.13354395604395602
1_baseline_m32_s42,1_baseline,32,0.9745,0.9733,12.78,0.15,8662,12m,6.488666666666667,0.07615805946791863
1_baseline_m48_s42,1_baseline,48,0.9767,0.9751,18.28,0.23,14294,12m,4.239565217391304,0.05334245076586433
1_baseline_m64_s42,1_baseline,64,0.9787,0.9776,23.78,0.47,19926,5m,2.08,0.041110176619007566
1_baseline_m80_s42,1_baseline,80,0.9797,0.9795,29.28,0.35,25558,3m,2.798571428571429,0.03345286885245902
2_depthwise_m16_s42,2_depthwise,16,0.9598,0.9596,8.65,0.14,2915,6m,6.854285714285714,0.11093641618497109
2_depthwise_m32_s42,2_depthwise,32,0.9674,0.9667,14.15,0.16,8547,5m,6.041875,0.06831802120141342
2_depthwise_m48_s42,2_depthwise,48,0.97,0.9691,19.65,0.24,14179,5m,4.037916666666667,0.04931806615776082
2_depthwise_m64_s42,2_depthwise,64,0.9755,0.9751,25.15,0.33,19811,5m,2.9548484848484846,0.0387713717693837
2_depthwise_m80_s42,2_depthwise,80,0.9774,0.9771,30.65,0.37,25443,2m,2.6408108108108106,0.031879282218597066
3_batchnorm_m48_s42,3_batchnorm,48,0.9788,0.978,18.61,0.19,14326,3m,5.147368421052631,0.05255239118753358
4_dense_m48_s42,4_dense,48,0.9797,0.9793,59.59,0.19,56606,2m,5.154210526315789,0.016433965430441348
5_filters_m48_s42,5_filters,48,0.9826,0.9822,32.62,0.19,28850,2m,5.169473684210526,0.03011036174126303
6_best_m48_s42,6_best,48,0.9724,0.9722,47.77,0.23,42455,5m,4.22695652173913,0.02035168515804898
7_hybrid_m48_s42,7_hybrid,48,0.9775,0.9763,18.61,0.19,14326,3m,5.138421052631578,0.052461042450295536
8a_dropout01_m48_s42,8a_dropout01,48,0.9786,0.9772,18.4,0.19,14294,2m,5.1431578947368415,0.053108695652173916
8b_dropout02_m48_s42,8b_dropout02,48,0.9793,0.9783,18.4,0.19,14294,2m,5.1489473684210525,0.05316847826086957
8c_dropout03_m48_s42,8c_dropout03,48,0.9767,0.9765,18.2,0.19,14294,2m,5.139473684210526,0.053653846153846156
8d_dropout04_m48_s42,8d_dropout04,48,0.9802,0.9797,18.4,0.19,14294,2m,5.156315789473684,0.05324456521739131
9a_depthwise_drop01_m48_s42,9a_depthwise_drop01,48,0.974,0.9739,19.8,0.22,14179,1m,4.426818181818182,0.04918686868686868
9b_depthwise_drop02_m48_s42,9b_depthwise_drop02,48,0.9731,0.9727,19.8,0.22,14179,3m,4.421363636363636,0.04912626262626262
9c_depthwise_drop03_m48_s42,9c_depthwise_drop03,48,0.9729,0.9721,19.8,0.22,14179,3m,4.418636363636363,0.049095959595959596
9d_depthwise_drop04_m48_s42,9d_depthwise_drop04,48,0.9757,0.9752,19.8,0.22,14179,2m,4.432727272727273,0.04925252525252525
